训练开始时间: 2026-06-21 20:19:45
模型: UNet_CBAM
数据目录: data
预训练轮数: 20
预训练任务: rotation
训练轮数: 150
批次大小: 4
学习率: 0.0001
随机种子: 42
DataLoader workers: 0
================================================================================
Epoch	Train_Loss	Val_Loss	ACC		SP		DSC		MIoU
--------------------------------------------------------------------------------
83	0.0316		0.1425		0.9622	0.9837	0.7738	0.7954
84	0.0311		0.1427		0.9623	0.9837	0.7740	0.7956
85	0.0311		0.1424		0.9622	0.9836	0.7739	0.7955
86	0.0314		0.1421		0.9622	0.9837	0.7737	0.7953
87	0.0309		0.1427		0.9623	0.9837	0.7738	0.7955
88	0.0310		0.1427		0.9623	0.9837	0.7742	0.7957
89	0.0308		0.1426		0.9623	0.9836	0.7743	0.7958
90	0.0309		0.1426		0.9623	0.9836	0.7743	0.7957
91	0.0307		0.1422		0.9622	0.9837	0.7738	0.7955
92	0.0308		0.1427		0.9622	0.9836	0.7742	0.7957
93	0.0309		0.1426		0.9622	0.9836	0.7740	0.7955
94	0.0310		0.1429		0.9622	0.9837	0.7739	0.7955
95	0.0308		0.1427		0.9622	0.9837	0.7738	0.7954
96	0.0307		0.1430		0.9622	0.9836	0.7740	0.7955
97	0.0307		0.1424		0.9623	0.9838	0.7738	0.7955
98	0.0309		0.1430		0.9622	0.9835	0.7740	0.7956
99	0.0307		0.1423		0.9623	0.9838	0.7737	0.7954
100	0.0309		0.1432		0.9622	0.9835	0.7740	0.7956
101	0.0306		0.1424		0.9622	0.9837	0.7739	0.7955
102	0.0307		0.1433		0.9622	0.9836	0.7737	0.7954
103	0.0307		0.1432		0.9623	0.9837	0.7741	0.7956
104	0.0312		0.1426		0.9622	0.9837	0.7738	0.7954
105	0.0306		0.1431		0.9622	0.9837	0.7739	0.7955
106	0.0309		0.1432		0.9622	0.9837	0.7738	0.7954
107	0.0307		0.1432		0.9622	0.9836	0.7739	0.7955
108	0.0307		0.1426		0.9623	0.9837	0.7740	0.7956
109	0.0305		0.1434		0.9623	0.9837	0.7740	0.7956
110	0.0306		0.1430		0.9622	0.9837	0.7737	0.7954
111	0.0309		0.1434		0.9622	0.9837	0.7739	0.7955
112	0.0306		0.1427		0.9623	0.9837	0.7739	0.7955
113	0.0307		0.1431		0.9623	0.9837	0.7741	0.7956
114	0.0308		0.1432		0.9622	0.9836	0.7740	0.7956
115	0.0307		0.1431		0.9623	0.9838	0.7737	0.7954
